arandela,x_f,y_f,z_f,vx_f,vy_f,vz_f,masa,r_xy,radio_medio,radio_medio_log10,densidad_log10
61,-216.65890692785027,-514.5693393070228,2195.139437544226,12148.122211574195,-5136.864363029845,-9889.802770101594,7962.0,97929.10080616776,12.3,1.089905111439398,1.3209625220909307
62,-13.503654099609694,-553.0579637726584,-1993.9014509361925,-1600.6256635256245,5595.186856542092,1266.4195989845198,7984.0,99802.21334583216,12.5,1.0969100130080565,1.308151377727
63,-537.7475717929324,188.15633797768643,-749.0858015483935,12030.035808193732,-14179.418696901643,-7334.63845873188,7609.0,96634.05357296321,12.700000000000001,1.1038037209559568,1.2734713071580626
64,79.48392079693228,735.6039443315964,4427.004686291104,20214.060452752103,-7567.699142329131,-8793.142195905528,7855.0,101316.66115505232,12.9,1.110589710299249,1.2737182098920055
65,-1524.745249129185,-499.59087423252123,1805.6447181060123,19646.74669656175,-3652.767633512171,13783.715022440481,7595.0,99490.42541557147,13.100000000000001,1.1172712956557642,1.245736891595965
66,1074.7737715869434,1188.3118640979937,2649.2463087706087,1728.3474674701868,-4163.739991045448,-28207.798335867355,7801.0,103755.2246079073,13.3,1.1238516409670858,1.2441989524683896
67,768.8512771467343,-1468.3016312398736,-973.0941625785497,18643.689181615417,16796.906939738612,-9569.300071098092,7689.0,103800.22917428619,13.5,1.130333768495006,1.2249545211000543
68,1688.4900386809445,627.7896550451417,272.13259297270054,-19839.887418542858,198.95837973505695,-25592.97637046368,7628.0,104501.52133947669,13.700000000000001,1.136720567156407,1.208721977468592
69,881.5492745634156,-34.32030347001907,6032.40755454007,12259.764926724103,-30057.806716894742,-11427.924966798251,7560.0,105092.73457677593,13.9,1.1430148002540952,1.1922448427559063
70,781.0857834935858,-440.48717809127186,1176.1663269388612,21056.869387265113,-8426.543217603412,6453.759172534821,7362.0,103813.09571257493,14.100000000000001,1.14921911265538,1.1683104466081644
71,-89.36871913381484,551.0634222174531,698.0765306936382,19916.919217684776,-12859.847163109664,-11564.349963145129,7282.0,104127.46193722407,14.3,1.1553360374650619,1.1513316607285857
72,-1356.2167452167505,-1128.3501586558127,449.92230346344513,7504.40088307939,-8744.979690452305,5766.376295682727,7324.0,106204.33554018213,14.5,1.1613680022349748,1.14176558616187
73,-947.2044529415865,1285.2351760059885,4363.779641919805,15369.576867224025,422.8847625854039,-2754.3556742111923,7177.0,105501.24479132994,14.700000000000001,1.1673173347481762,1.1210617178175883
74,-1131.8538374074385,843.638777712428,-1341.1145543466832,7632.682762778924,-268.43928451911876,-2366.633391430602,7126.0,106174.53174490278,14.9,1.173186268412274,1.1062269009088797
75,-566.8632927935664,1299.0709737360685,-2387.3731784516453,16886.442822990437,-8856.688603344739,-1145.1972895293181,7143.0,107854.85023809089,15.100000000000001,1.1789769472931695,1.0956805468424686
76,201.21833071462206,-649.8645622984945,-1802.7254889615915,21600.467801489063,8470.435148911427,-8589.593635005145,7062.0,108044.40705221986,15.3,1.1846914308175989,1.079298807797274
77,-491.7977565067572,-848.6705487877387,-3304.8692955921056,18182.923726240304,-7811.043709842165,-8921.978249119486,7091.0,109911.15690153425,15.5,1.1903316981702914,1.0697982037985276
78,-607.3064135566262,1840.9582437051045,4876.344841987737,15431.013791994284,8819.407528882997,-19785.8014074,7108.0,111595.51718772015,15.700000000000001,1.1958996524092338,1.0597023816177078
