arandela,x_f,y_f,z_f,vx_f,vy_f,vz_f,masa,r_xy,radio_medio,radio_medio_log10,densidad_log10
18,-368.9478393718429,-2432.1104987030585,-312.2117462670822,175415.71649601057,-31099.84316138476,-21258.23911969565,31158.0,115274.77950809519,3.7,0.568201724066995,3.826157984889609
19,-1535.4964001466856,-2337.5983678416173,-223.82842492204435,163348.46398026048,-102431.07230274146,-18494.311117592053,30909.0,120542.08046697483,3.9000000000000004,0.5910646070264992,3.799810483496845
20,-2084.291074183899,-2070.0653014896425,-243.40423773000742,141086.67037089632,-159320.15725787045,-34011.55139265893,30284.0,124163.20254475372,4.1,0.6127838567197355,3.769219516770377
21,-3285.735605393909,-377.9212842445706,89.25085722724242,36997.027698271435,-231562.49050275126,-39367.49105325091,29634.0,127425.96251058343,4.300000000000001,0.6334684555795866,3.7391119569435083
22,-2258.9856516919717,-843.7542961254122,-185.37356728370733,82285.81223031748,-184190.14377096875,-29239.417670513838,29148.0,131152.27633647734,4.5,0.6532125137753437,3.7121863830553155
23,-1679.663146273837,-1227.7234469132127,19.501534590380658,100775.63052498891,-130852.57214004794,-24658.39644149354,28570.0,134257.2406258987,4.700000000000001,0.6720978579357175,3.6846025184249287
24,-1105.4457176795727,-1096.64391282129,136.77183723454337,119578.18010855874,-104650.43732527815,-28005.550868166247,28150.0,137913.37877443322,4.9,0.6901960800285137,3.6600724551367567
25,648.2010444498569,-2845.878927233193,123.75433883106592,190943.11554199786,-37914.079846047665,-42254.032527753916,27897.0,142266.79984011667,5.1,0.7075701760979364,3.6387774623113343
26,900.1190918764571,-1369.0431289081191,108.4357236644155,128387.1981886818,-9037.283866722868,-18993.82381876095,27656.0,146567.26323704942,5.300000000000001,0.7242758696007892,3.618303632911465
27,2873.030527117366,-2412.974871578381,210.38813245039768,173855.08039228234,71899.02099595888,-10774.842274360772,26557.0,146059.6572712034,5.5,0.7403626894942439,3.5846064600624414
28,2383.9131405291746,-541.2072765443133,89.69619762700714,83871.2418494176,45199.738303016515,-13306.420694607972,26167.0,149153.73150324365,5.700000000000001,0.7558748556724915,3.5626692147095462
29,3692.433541244464,-437.40263227466215,335.5460435329909,68095.77859505809,101506.36320027125,-12555.783178156467,25640.0,151264.3148181485,5.9,0.7708520116421442,3.5388561451825407
30,2709.7528384185407,-467.14994938367215,385.55578291683815,72742.77850452646,59185.961278569855,-6249.612673955067,24682.0,150551.8895041676,6.1,0.785329835010767,3.507840648944696
31,1957.8897776128508,-412.3328180140646,376.4405644496365,64741.64802953746,42882.928010039795,-9509.29713462854,23590.0,148602.85814990246,6.300000000000001,0.7993405494535818,3.474177527409917
32,346.7093401218251,-152.4399515477596,253.794503729731,57749.221494390564,-18598.14021477207,393.9487405384003,23201.0,150801.49262799046,6.5,0.8129133566428556,3.453383483412257
33,1394.8562481926701,694.4090967885902,186.07807846374052,21520.797426485344,24642.503246064985,-1226.3920198002206,22295.0,149374.7381567322,6.700000000000001,0.8260748027008264,3.4229228099627034
34,-215.23780510603635,1531.3789621391995,112.8854244422282,-18337.225979003062,-33650.795014917916,327.0898313408831,21511.0,148421.0499249981,6.9,0.8388490907372553,3.3946016455112846
35,1786.9949522360068,2393.2210482302435,135.03828306959457,-44208.8469217153,39321.46478358801,-2202.240892755967,21109.0,149863.27248526172,7.1,0.8512583487190752,3.3739994471525248
36,1471.0605921777676,1418.191712373369,145.9466529611585,-11923.654619446237,18327.117279401795,-7708.646645351713,20020.0,146139.33357669227,7.300000000000001,0.8633228601204559,3.3389313490007475
37,4602.825219601478,722.0397154534379,228.97734810824826,4625.809602604031,125769.44455276315,-6922.733652246535,19608.0,147053.13299142258,7.5,0.8750612633917001,3.318162170830225
38,1924.8731850595339,2336.8588488030628,208.26560134684604,-43647.05904655652,30564.89186208722,-5451.438366928422,18917.0,145649.67800883853,7.700000000000001,0.886490725172482,3.2911516746496954
39,1025.9947631097675,836.3427424917351,219.65184864694453,4004.4411973295028,-2808.475339175961,-7713.747673131437,18156.0,143429.86543263152,7.9,0.8976270912904415,3.2621832187582753
40,-391.7473840727405,1545.8948676274897,225.3323132690063,-16672.300888917594,-52947.99980992884,-4001.2760516707167,17538.0,142032.33221472707,8.100000000000001,0.9084850188786499,3.236285182840331
41,-423.66623089614154,-168.41560664057914,192.15736505358453,44985.87886676113,-51922.84124087831,96.34699324026522,17356.0,144038.54707663093,8.3,0.919078092376074,3.221161685059007
42,483.3303581148167,-944.6005213990913,97.27674009439004,59025.27372450191,-18470.06717718895,-6128.656182787665,16314.0,138653.888065447,8.5,0.9294189257142927,3.183931668234756
43,642.2272390235287,-1003.9409973068194,161.18640934212098,61045.18432386259,-12358.182694825842,7442.45910159208,15511.0,134941.07365564257,8.7,0.9395192526186185,3.151910681203967
44,-1911.5202009182797,-2468.724261402383,-46.52004334861924,112322.367817601,-82795.47202091778,-1798.0165689931737,15055.0,133988.69559623525,8.9,0.9493900066449128,3.1290808891817705
45,1604.9728954300485,-2642.9594011151694,94.31364630198406,111289.88334695454,17601.10401079863,561.106978421067,14528.0,132196.37389406096,9.100000000000001,0.9590413923210936,3.103954574833818
46,2788.3490957302256,-2409.2497199462887,-25.916172584254447,100865.34684302083,49598.68697300941,4125.975748997016,13998.0,130167.97675944853,9.3,0.9684829485539351,3.078373176601365
47,2988.000784647023,-2639.4254036054376,-24.636656975022365,102172.6572922793,51559.51250382404,2400.468315280611,13712.0,130253.80935481911,9.5,0.9777236052888477,3.0601673352681775
48,3720.2753891075095,-2151.9868218591578,-93.84463454130923,89180.18382798035,65719.32867490881,458.2585689228573,12986.0,125946.98896441018,9.700000000000001,0.9867717342662449,3.0274938002483966
49,2112.740967389286,-844.4847285772295,-126.8958053350792,48799.96417853959,30635.429726525683,-1771.4111863766425,12535.0,124082.49436064539,9.9,0.9956351945975499,3.0032792796745915
50,4616.448005254038,602.7382424932944,-58.5886971778863,12773.36669414957,89709.04905888031,1712.5936402142775,11965.0,120825.4935081224,10.100000000000001,1.0043213737826426,2.9743814651447154
51,2144.661175909439,-958.9681875953735,-192.7160533491767,53684.605120115215,33465.40736607813,3706.45531934346,11284.0,116212.20504159197,10.3,1.0128372247051722,2.9404159887560612
52,481.72657195896795,-1227.859627864321,-64.78946624080649,53592.228909917554,-7420.909542272731,-364.04242068362373,10978.0,115265.09481942846,10.5,1.021189299069938,2.92012406335356
53,756.3076096562861,474.41750828402525,-148.1415161672415,10236.978053595714,-1420.7695716167264,-3482.9223625160575,10397.0,111250.85378608257,10.700000000000001,1.0293837776852097,2.88831440226477
54,1306.8657361070323,362.5673453787363,-74.19589394903952,11167.627454770616,17101.19858374378,-435.93447156988407,9898.0,107884.77895445366,10.9,1.0374264979406236,2.858911087512419
55,1202.0082653737657,450.7798406309423,-222.6479197245688,7199.927140381211,20574.46413485974,204.5457119911387,9503.0,105477.28118183449,11.100000000000001,1.0453229787866576,2.833327886455941
56,979.8199614576808,-383.87848949616574,-155.15956611070678,28570.4124803232,18230.01462904011,-1354.9091361994297,9287.0,104939.9437334387,11.3,1.0530784434834197,2.815587138042519
57,-611.2133504306812,1215.9967022844078,-115.65702344122457,-10229.358785421779,-21290.169568303696,-168.36733673913523,8931.0,102707.33353990971,11.5,1.0606978403536116,2.7909923849906773
58,-138.4603844937844,1378.456613260009,-124.05572112998023,-15486.35600966317,-6022.796235300085,-3213.238841909342,8538.0,99896.48934998031,11.700000000000001,1.0681858617461617,2.7639604246996723
59,-273.4639404319336,2241.3375989239617,-178.31858041362517,-35330.50919697005,-10225.964197684923,235.5057290835857,8413.0,100106.14981170431,11.9,1.0755469613925308,2.7501940635009845
60,-1690.7954040142254,2947.9936859638688,-179.83648596185364,-53066.45459339775,-37579.94251521962,-1221.1788995770394,7913.0,95732.86307645668,12.100000000000001,1.08278537031645,2.71634593138896
61,-1536.1744046295287,2853.1985918562395,-184.44838558250297,-50306.921604122384,-37436.06507713884,-1577.1685579499087,7647.0,94053.31638679683,12.3,1.089905111439398,2.694376114727437
62,-3636.794473681758,3577.4363765012963,-198.25660854908733,-64410.69391358422,-77324.96742641056,-4519.406736754388,7288.0,91094.50672964178,12.5,1.0969100130080565,2.666488486934787
63,-4233.821422745047,2210.4980536816615,-47.87500356208803,-40408.49322720951,-92263.08372482598,-3628.2937231741785,7086.0,89990.91143893349,12.700000000000001,1.1038037209559568,2.6473875630191066
64,-3329.1460548551763,1622.4014599907914,-143.02826990362735,-29575.371172269573,-73612.17575205803,-2210.27191274932,6671.0,86060.61473563411,12.9,1.110589710299249,2.614391366331241
65,-3407.168981295606,2204.169912101885,-126.61253281786728,-36612.201171724424,-70646.60305648725,-4482.986362201749,6525.0,85474.85729196298,13.100000000000001,1.1172712956557642,2.598099356332455
66,-2767.3238444627914,806.0942203973004,-96.05763304945569,-8278.895437546184,-62723.481215710504,-4427.4461839944815,6274.0,83437.59289528386,13.3,1.1238516409670858,2.574483009372547
67,-1739.4426783581084,-631.4418234786766,-203.59234793903948,17595.286574681173,-42013.314483472976,-6600.541963060943,6084.0,82133.37293850284,13.5,1.130333768495006,2.5546455728638557
68,-1938.6982673119162,-1355.123911873589,-19.86916091401667,30496.26962430441,-40897.383119166894,-5283.98963746777,5860.0,80276.25103914004,13.700000000000001,1.136720567156407,2.5319671848395884
69,-934.6018680345533,-2711.356085337286,24.908260023865335,55950.806284724094,-23450.261039580004,-3154.5095676597693,5677.0,78907.10636710215,13.9,1.1430148002540952,2.5118942299492235
